stem,n_gt_edges,row2_pred_P,row2_pred_R,row2_pred_F1,row2_pred_TA,row2_pred_npred,row2_gtmask_P,row2_gtmask_R,row2_gtmask_F1,row2_gtmask_TA,row2_gtmask_npred,row3_pred_P,row3_pred_R,row3_pred_F1,row3_pred_TA,row3_pred_npred
62,19,0.95,1.0,0.9743589743589743,0.8947368421052632,20,0.95,1.0,0.9743589743589743,0.8947368421052632,20,1.0,0.9473684210526315,0.972972972972973,1.0,18
1968,20,1.0,1.0,1.0,0.7,20,1.0,1.0,1.0,0.7,20,1.0,1.0,1.0,1.0,20
153,22,0.9565217391304348,1.0,0.9777777777777777,0.9090909090909091,23,0.9565217391304348,1.0,0.9777777777777777,0.9090909090909091,23,1.0,1.0,1.0,1.0,22
5186,11,0.7333333333333333,1.0,0.846153846153846,0.7272727272727273,15,0.6875,1.0,0.8148148148148148,0.7272727272727273,16,1.0,1.0,1.0,1.0,11
9996,13,1.0,1.0,1.0,0.6923076923076923,13,1.0,1.0,1.0,0.6923076923076923,13,1.0,1.0,1.0,1.0,13
10564,16,0.9411764705882353,1.0,0.9696969696969697,0.6875,17,0.9411764705882353,1.0,0.9696969696969697,0.6875,17,1.0,1.0,1.0,1.0,16
8762,11,0.9166666666666666,1.0,0.9565217391304348,0.8181818181818182,12,0.9166666666666666,1.0,0.9565217391304348,0.8181818181818182,12,1.0,1.0,1.0,1.0,11
15398,8,1.0,1.0,1.0,0.625,8,1.0,1.0,1.0,0.625,8,1.0,1.0,1.0,1.0,8
15292,8,1.0,1.0,1.0,0.625,8,1.0,1.0,1.0,0.625,8,1.0,1.0,1.0,1.0,8
10798,8,0.7272727272727273,1.0,0.8421052631578948,0.625,11,0.7272727272727273,1.0,0.8421052631578948,0.625,11,1.0,1.0,1.0,1.0,8
15177,9,0.9,1.0,0.9473684210526316,0.6666666666666666,10,0.9,1.0,0.9473684210526316,0.6666666666666666,10,1.0,1.0,1.0,1.0,9
12788,16,0.8888888888888888,1.0,0.9411764705882353,0.5625,18,0.8888888888888888,1.0,0.9411764705882353,0.5625,18,1.0,1.0,1.0,1.0,16
10795,16,0.9411764705882353,1.0,0.9696969696969697,0.6875,17,0.9411764705882353,1.0,0.9696969696969697,0.6875,17,1.0,1.0,1.0,1.0,16
9907,9,0.8181818181818182,1.0,0.9,0.6666666666666666,11,0.8181818181818182,1.0,0.9,0.6666666666666666,11,1.0,1.0,1.0,1.0,9
13140,12,1.0,1.0,1.0,0.75,12,1.0,1.0,1.0,0.75,12,1.0,1.0,1.0,1.0,12
16451,8,0.8,1.0,0.888888888888889,0.625,10,0.8,1.0,0.888888888888889,0.625,10,1.0,1.0,1.0,1.0,8
